Country.Region,Province.State,Population,Density,Source,Level
Afghanistan,None,37172386,,World Bank,Country.Region
Albania,None,2866376,,World Bank,Country.Region
Algeria,None,42228429,,World Bank,Country.Region
American Samoa,None,55465,,World Bank,Country.Region
Andorra,None,77006,,World Bank,Country.Region
Angola,None,30809762,,World Bank,Country.Region
Antigua and Barbuda,None,96286,,World Bank,Country.Region
Arab World,None,419790588,,World Bank,Country.Region
Argentina,None,44494502,,World Bank,Country.Region
Armenia,None,2951776,,World Bank,Country.Region
Aruba,None,105845,,World Bank,Country.Region
Australia,None,24992369,,World Bank,Country.Region
Austria,None,8847037,,World Bank,Country.Region
Azerbaijan,None,9942334,,World Bank,Country.Region
"Bahamas, The",None,385640,,World Bank,Country.Region
Bahrain,None,1569439,,World Bank,Country.Region
Bangladesh,None,161356039,,World Bank,Country.Region
Barbados,None,286641,,World Bank,Country.Region
Belarus,None,9485386,,World Bank,Country.Region
Belgium,None,11422068,,World Bank,Country.Region
Belize,None,383071,,World Bank,Country.Region
Benin,None,11485048,,World Bank,Country.Region
Bermuda,None,63968,,World Bank,Country.Region
Bhutan,None,754394,,World Bank,Country.Region
Bolivia,None,11353142,,World Bank,Country.Region
Bosnia and Herzegovina,None,3323929,,World Bank,Country.Region
Botswana,None,2254126,,World Bank,Country.Region
Brazil,None,209469333,,World Bank,Country.Region
British Virgin Islands,None,29802,,World Bank,Country.Region
Brunei Darussalam,None,428962,,World Bank,Country.Region
Brunei,None,428962,,World Bank,Country.Region
Bulgaria,None,7024216,,World Bank,Country.Region
Burkina Faso,None,19751535,,World Bank,Country.Region
Burundi,None,11175378,,World Bank,Country.Region
Cabo Verde,None,543767,,World Bank,Country.Region
Cambodia,None,16249798,,World Bank,Country.Region
Cameroon,None,25216237,,World Bank,Country.Region
Canada,None,37058856,,World Bank,Country.Region
Caribbean small states,None,7358965,,World Bank,Country.Region
Cayman Islands,None,64174,,World Bank,Country.Region
Central African Republic,None,4666377,,World Bank,Country.Region
Central Europe and the Baltics,None,102511922,,World Bank,Country.Region
Chad,None,15477751,,World Bank,Country.Region
Channel Islands,None,170499,,World Bank,Country.Region
Chile,None,18729160,,World Bank,Country.Region
China,None,1392730000,,World Bank,Country.Region
Colombia,None,49648685,,World Bank,Country.Region
Comoros,None,832322,,World Bank,Country.Region
"Congo, Dem. Rep.",None,84068091,,World Bank,Country.Region
"Congo, Rep.",None,5244363,,World Bank,Country.Region
Congo (Kinshasa),None,11860000,,Google,Country.Region
Costa Rica,None,4999441,,World Bank,Country.Region
Cote d'Ivoire,None,25069229,,World Bank,Country.Region
Croatia,None,4089400,,World Bank,Country.Region
Cuba,None,11338138,,World Bank,Country.Region
Curacao,None,159849,,World Bank,Country.Region
Cyprus,None,1189265,,World Bank,Country.Region
Czech Republic,None,10625695,,World Bank,Country.Region
Czechia,None,10625695,,World Bank,Country.Region
Denmark,None,5797446,,World Bank,Country.Region
Djibouti,None,958920,,World Bank,Country.Region
Dominica,None,71625,,World Bank,Country.Region
Dominican Republic,None,10627165,,World Bank,Country.Region
Early-demographic dividend,None,3249140605,,World Bank,Country.Region
East Asia & Pacific,None,2328220870,,World Bank,Country.Region
East Asia & Pacific (excluding high income),None,2081651801,,World Bank,Country.Region
East Asia & Pacific (IDA & IBRD countries),None,2056064424,,World Bank,Country.Region
Ecuador,None,17084357,,World Bank,Country.Region
"Egypt, Arab Rep.",None,98423595,,World Bank,Country.Region
Egypt,None,98423595,,World Bank,Country.Region
El Salvador,None,6420744,,World Bank,Country.Region
Equatorial Guinea,None,1308974,,World Bank,Country.Region
Eritrea,None,3213972,,World Bank,Country.Region
Estonia,None,1320884,,World Bank,Country.Region
Eswatini,None,1136191,,World Bank,Country.Region
Ethiopia,None,109224559,,World Bank,Country.Region
Euro area,None,341783171,,World Bank,Country.Region
Europe & Central Asia,None,918793590,,World Bank,Country.Region
Europe & Central Asia (excluding high income),None,417797257,,World Bank,Country.Region
Europe & Central Asia (IDA & IBRD countries),None,459865205,,World Bank,Country.Region
European Union,None,513213363,,World Bank,Country.Region
Faroe Islands,None,48497,,World Bank,Country.Region
Fiji,None,883483,,World Bank,Country.Region
Finland,None,5518050,,World Bank,Country.Region
Fragile and conflict affected situations,None,515215936,,World Bank,Country.Region
France,None,66987244,,World Bank,Country.Region
French Guiana,None,290691,,Google,Country.Region
French Polynesia,None,277679,,World Bank,Country.Region
Gabon,None,2119275,,World Bank,Country.Region
"Gambia, The",None,2280102,,World Bank,Country.Region
Georgia,None,3731000,,World Bank,Country.Region
Germany,None,82927922,,World Bank,Country.Region
Ghana,None,29767108,,World Bank,Country.Region
Gibraltar,None,33718,,World Bank,Country.Region
Great Britain,None,65844142,,OECD,Country.Region
Greece,None,10727668,,World Bank,Country.Region
Greenland,None,56025,,World Bank,Country.Region
Grenada,None,111454,,World Bank,Country.Region
Guam,None,165768,,World Bank,Country.Region
Guatemala,None,17247807,,World Bank,Country.Region
Guinea,None,12414318,,World Bank,Country.Region
Guinea-Bissau,None,1874309,,World Bank,Country.Region
Guyana,None,779004,,World Bank,Country.Region
Haiti,None,11123176,,World Bank,Country.Region
Heavily indebted poor countries (HIPC),None,780234406,,World Bank,Country.Region
High income,None,1210312147,,World Bank,Country.Region
Holy See,None,1000,,Google,Country.Region
Honduras,None,9587522,,World Bank,Country.Region
"Hong Kong SAR, China",None,7451000,,World Bank,Country.Region
Hungary,None,9768785,,World Bank,Country.Region
IBRD only,None,4772284113,,World Bank,Country.Region
Iceland,None,353574,,World Bank,Country.Region
IDA & IBRD total,None,6412522234,,World Bank,Country.Region
IDA blend,None,555830605,,World Bank,Country.Region
IDA only,None,1084407516,,World Bank,Country.Region
IDA total,None,1640238121,,World Bank,Country.Region
India,None,1352617328,,World Bank,Country.Region
Indonesia,None,267663435,,World Bank,Country.Region
"Iran, Islamic Rep.",None,81800269,,World Bank,Country.Region
Iran (Islamic Republic of),None,81800269,,World Bank,Country.Region
