"","country","year","density"
"1","Afghanistan",2018,56.937760009803
"2","Albania",2018,104.612262773723
"3","Algeria",2018,17.7300750711665
"4","American Samoa",2018,277.325
"5","Andorra",2018,163.842553191489
"6","Angola",2018,24.7130520574316
"7","Antigua and Barbuda",2018,218.831818181818
"8","Arab World",2018,37.3723653654038
"9","Argentina",2018,16.2585100979651
"10","Armenia",2018,103.680224798033
"11","Aruba",2018,588.027777777778
"12","Australia",2018,3.24912948744283
"13","Austria",2018,107.206926667578
"14","Azerbaijan",2018,120.265319946776
"15","Bahamas, The",2018,38.5254745254745
"16","Bahrain",2018,2017.27369979138
"17","Bangladesh",2018,1239.57931166936
"18","Barbados",2018,666.606976744186
"19","Belarus",2018,46.7287999040892
"20","Belgium",2018,377.214927344782
"21","Belize",2018,16.7939938623411
"22","Benin",2018,101.853919829727
"23","Bermuda",2018,1184.59257167194
"24","Bhutan",2018,19.7775277714448
"25","Bolivia",2018,10.4801458506416
"26","Bosnia and Herzegovina",2018,64.92048828125
"27","Botswana",2018,3.97742487604327
"28","Brazil",2018,25.0617162430876
"29","British Virgin Islands",2018,198.68
"30","Brunei Darussalam",2018,81.3969639468691
"31","Bulgaria",2018,64.7035372144436
"32","Burkina Faso",2018,72.1912828947368
"33","Burundi",2018,435.178271028037
"34","Cabo Verde",2018,134.929776674938
"35","Cambodia",2018,92.0564128710628
"36","Cameroon",2018,53.3439889149796
"37","Canada",2018,4.07530821431988
"38","Caribbean small states",2018,18.1770161788317
"39","Cayman Islands",2018,267.391666666667
"40","Central African Republic",2018,7.49041221227006
"41","Central Europe and the Baltics",2018,92.7664366303472
"42","Chad",2018,12.2917336404066
"43","Channel Islands",2018,861.106093786457
"44","Chile",2018,25.1894460666519
"45","China",2018,148.348833270666
"46","Colombia",2018,44.7487021180712
"47","Comoros",2018,447.244477540227
"48","Congo, Dem. Rep.",2018,37.0825923557045
"49","Congo, Rep.",2018,15.3568462664715
"50","Costa Rica",2018,97.9130630630631
"51","Cote d'Ivoire",2018,78.8340534591195
"52","Croatia",2018,73.0771979985704
"53","Cuba",2018,108.999596231494
"54","Curacao",2017,360.754504504505
"55","Cyprus",2018,128.708333333333
"56","Czech Republic",2018,137.602887852888
"57","Denmark",2018,138.067301738509
"58","Djibouti",2018,41.3684210526316
"59","Dominica",2018,95.5
"60","Dominican Republic",2018,219.97857586421
"61","Early-demographic dividend",2018,98.13836364042
"62","East Asia & Pacific",2018,95.4316055341949
"63","East Asia & Pacific (excluding high income)",2018,130.810431457567
"64","East Asia & Pacific (IDA & IBRD countries)",2018,130.185452991291
"65","Ecuador",2018,68.7886817522951
"66","Egypt, Arab Rep.",2018,98.8734692852479
"67","El Salvador",2018,309.881467181467
"68","Equatorial Guinea",2018,46.6657397504456
"69","Eritrea",2011,31.8215049504951
"70","Estonia",2018,30.3861053600184
"71","Eswatini",2018,66.0576162790698
"72","Ethiopia",2018,109.224559
"73","Euro area",2018,127.582277673283
"74","Europe & Central Asia",2018,33.4968853034031
"75","Europe & Central Asia (excluding high income)",2018,18.4773754089394
"76","Europe & Central Asia (IDA & IBRD countries)",2018,20.0172566615243
"77","European Union",2018,121.078194096678
"78","Faroe Islands",2018,34.7399698278226
"79","Fiji",2018,48.3570333880679
"80","Finland",2018,18.1568556480537
"81","Fragile and conflict affected situations",2018,39.8693125353373
"82","France",2018,122.338395739199
"83","French Polynesia",2018,75.8685792349727
"84","Gabon",2018,8.22476423332169
"85","Gambia, The",2018,225.30652173913
"86","Georgia",2018,65.2752020714511
"87","Germany",2018,237.3709697733
"88","Ghana",2018,130.821429199262
"89","Gibraltar",2018,3371.8
"90","Greece",2018,83.2247323506594
"91","Greenland",2018,0.136496528200755
"92","Grenada",2018,327.805882352941
"93","Guam",2018,306.977777777778
"94","Guatemala",2018,160.953779395297
"95","Guinea",2018,50.5222122741332
"96","Guinea-Bissau",2018,66.6539473684211
"97","Guyana",2018,3.95734823469647
"98","Haiti",2018,403.59854862119
"99","Heavily indebted poor countries (HIPC)",2018,44.8957816454125
"100","High income",2018,34.4377658355898
"101","Honduras",2018,85.6870319063366
"102","Hong Kong SAR, China",2018,7096.19047619048
"103","Hungary",2018,107.906605545123
"104","IBRD only",2018,68.7859051970979
"105","Iceland",2018,3.52692269326683
"106","IDA & IBRD total",2018,68.7084518843392
"107","IDA blend",2018,93.3256218287322
"108","IDA only",2018,60.2621873819374
"109","IDA total",2018,68.4840897212872
"110","India",2018,454.938072575247
"111","Indonesia",2018,147.75219008926
"112","Iran, Islamic Rep.",2018,50.222420123284
"113","Iraq",2018,88.5305700354617
"114","Ireland",2018,70.452983016403
"115","Isle of Man",2018,147.50350877193
"116","Israel",2018,410.526802218115
"117","Italy",2018,205.450747943156
"118","Jamaica",2018,270.993074792244
"119","Japan",2018,347.073458415624
"120","Jordan",2018,112.14249831043
"121","Kazakhstan",2018,6.76982590658221
"122","Kenya",2018,90.2994166637383
"123","Kiribati",2018,143.020987654321
"124","Korea, Dem. People’s Rep.",2018,212.190175234615
"125","Korea, Rep.",2018,529.652103632681
"126","Kosovo",2017,168.154679893451
"127","Kuwait",2018,232.172222222222
"128","Kyrgyz Republic",2018,32.9290928050052
"129","Lao PDR",2018,30.5957842287695
"130","Late-demographic dividend",2018,51.408720555305
"131","Latin America & Caribbean",2018,32.0057333680836
"132","Latin America & Caribbean (excluding high income)",2018,32.0214614597141
"133","Latin America & the Caribbean (IDA & IBRD countries)",2018,31.4141444422749
"134","Latvia",2018,30.9833065294307
"135","Least developed countries: UN classification",2018,56.8413289019083
"136","Lebanon",2018,669.494134897361
"137","Lesotho",2018,69.437812911726
"138","Liberia",2018,50.0309073920266
"139","Libya",2018,3.79563238119054
"140","Liechtenstein",2018,236.9375
"141","Lithuania",2018,44.5313513780643
"142","Low & middle income",2018,69.2415960633107
"143","Low income",2018,51.673738313444
"144","Lower middle income",2018,150.081518176415
"145","Luxembourg",2018,250.093827160494
"146","Macao SAR, China",2018,20777.5002607232
"147","Madagascar",2018,45.1398556204881
"148","Malawi",2018,192.440761561307
"149","Malaysia",2018,95.9628214883579
"150","Maldives",2018,1718.98666666667
"151","Mali",2018,15.635015858186
"152","Malta",2018,1511.03125
"153","Marshall Islands",2018,324.516666666667
"154","Mauritania",2018,4.27216357815077
"155","Mauritius",2018,623.30197044335
"156","Mexico",2018,64.9146264050001
"157","Micronesia, Fed. Sts.",2018,160.914285714286
"158","Middle East & North Africa",2018,39.997702909805
"159","Middle East & North Africa (excluding high income)",2018,44.3111694561864
"160","Middle East & North Africa (IDA & IBRD countries)",2018,43.8129297485221
"161","Middle income",2018,72.294869980189
"162","Moldova",2018,123.51980353224
"163","Monaco",2017,19196
"164","Mongolia",2018,2.04060866654651
"165","Montenegro",2018,46.2710037174721
"166","Morocco",2018,80.7285189334528
"167","Mozambique",2018,37.508535313716
"168","Myanmar",2018,82.2386154835549
"169","Namibia",2018,2.97374558175127
"170","Nauru",2018,635.2
"171","Nepal",2018,195.939107080572
"172","Netherlands",2018,511.457910359157
"173","New Caledonia",2018,15.5393873085339
"174","New Zealand",2018,18.5541756864532
"175","Nicaragua",2018,53.7270483629716
"176","Niger",2018,17.7176505881424
"177","Nigeria",2018,215.064988965381
"178","North America",2018,19.9709762368072
"179","North Macedonia",2018,82.5915146708961
"180","Northern Mariana Islands",2018,123.65652173913
"181","Norway",2018,14.5549195374975
"182","OECD members",2018,37.8092345649061
"183","Oman",2018,15.6041453957997
"184","Other small states",2018,15.1386164116647
"185","Pacific island small states",2018,38.2767445482866
"186","Pakistan",2018,275.289318700706
"187","Palau",2018,38.9282608695652
"188","Panama",2018,56.1860774818402
"189","Papua New Guinea",2018,19.0043633794109
"190","Paraguay",2018,17.5083589227284
"191","Peru",2018,24.99160625
"192","Philippines",2018,357.688305329175
"193","Poland",2018,124.035886214442
"194","Portugal",2018,112.23945350807
"195","Post-demographic dividend",2018,35.2674889372306
"196","Pre-demographic dividend",2018,51.6874400219725
"197","Puerto Rico",2018,360.220180383315
"198","Qatar",2018,239.593195521103
"199","Romania",2018,84.6398470097357
"200","Russian Federation",2018,8.82207955488442
"201","Rwanda",2018,498.659870287799
"202","Samoa",2018,69.3038869257951
"203","San Marino",2018,563.083333333333
"204","Sao Tome and Principe",2018,219.820833333333
"205","Saudi Arabia",2018,15.6766543082956
"206","Senegal",2018,82.3474783150678
"207","Serbia",2018,79.8317402241024
"208","Seychelles",2018,210.352173913043
"209","Sierra Leone",2018,105.987170961485
"210","Singapore",2018,7952.9984184018
"211","Sint Maarten (Dutch part)",2017,1193.35294117647
"212","Slovak Republic",2018,113.290578202995
"213","Slovenia",2018,102.639859503382
"214","Small states",2018,16.2244628233256
"215","Solomon Islands",2018,23.324687388353
"216","Somalia",2018,23.9234769024771
"217","South Africa",2018,47.6301197767684
"218","South Asia",2018,380.247133746081
"219","South Asia (IDA & IBRD)",2018,380.247133746081
"220","Spain",2018,93.5290582615872
"221","Sri Lanka",2018,345.558922022006
"222","St. Kitts and Nevis",2018,201.696153846154
"223","St. Lucia",2018,298.17868852459
"224","St. Martin (French part)",2017,672.058823529412
"225","St. Vincent and the Grenadines",2018,282.589743589744
"226","Sub-Saharan Africa",2018,50.7620843086558
"227","Sub-Saharan Africa (excluding high income)",2018,50.7586283354254
"228","Sub-Saharan Africa (IDA & IBRD countries)",2018,50.7620843086558
"229","Suriname",2018,3.69225
"230","Sweden",2018,25.0010434312931
"231","Switzerland",2018,215.521378417094
"232","Syrian Arab Republic",2018,92.0671077710614
"233","Tajikistan",2018,65.5727141724908
"234","Tanzania",2018,63.5790787988259
"235","Thailand",2018,135.897206835131
"236","Timor-Leste",2018,85.270477471419
"237","Togo",2018,145.046773303916
"238","Tonga",2018,143.329166666667
"239","Trinidad and Tobago",2018,270.927485380117
"240","Tunisia",2018,74.4413233779609
"241","Turkey",2018,106.960128893104
"242","Turkmenistan",2018,12.4505947694337
"243","Turks and Caicos Islands",2018,39.6473684210526
"244","Tuvalu",2018,383.6
"245","Uganda",2018,213.061734490325
"246","Ukraine",2018,77.0296673514129
"247","United Arab Emirates",2018,135.609110109828
"248","United Kingdom",2018,274.82739222089
"249","United States",2018,35.766088580168
"250","Upper middle income",2018,45.4691766291018
"251","Uruguay",2018,19.7080276539824
"252","Uzbekistan",2018,77.4692054536906
"253","Vanuatu",2018,24.0098441345365
"254","Venezuela, RB",2018,32.7307919052208
"255","Vietnam",2018,308.125245912213
"256","Virgin Islands (U.S.)",2018,305.648571428571
"257","West Bank and Gaza",2018,758.984551495017
"258","World",2018,59.6362362611782
"259","Yemen, Rep.",2018,53.9778529083092
"260","Zambia",2018,23.3414789007116
"261","Zimbabwe",2018,37.3245909267158
